料理名,エネルギーkcal,たんぱく質,総量,亜鉛,銅,セレン,レチノール当量,D,トコフェロールa,B1,B2,ナイアシン,B6,B12,C,食塩相当量
冷麺,455.59,26.5,3.5,2.2,0.26,38.5,101.96,1.3,1.4,0.5343,0.4502,8.8,0.2831,1.4,25.79,6
切り干し大根の炒め煮,34.503,1.1,2.1,0.1,0.03,0.47,35.507,0,0,0.03393,0.02421,0.3,0.03898,0.003,2.21,0.4
切り昆布の煮つけ,5.02,0.3,0.3,0,0.01,0.22,71,0,0,0.007,0.0084,0.1,0.0124,0.002,0.4,0.3
切干大根,235.76,9,1.4,1.1,0.1,4.38,259.2,0,0.5,0.0522,0.0642,0.6,0.0894,0.018,2.16,3
切干大根のナムル,2.13,0.2,0,0,0,0.33,0,0,0,0.0015,0.0051,0,0.0051,0.003,0,0.4
切干大根の梅酢あえ,1.775,0.2,0,0,0,0.275,0,0,0,0.00125,0.00425,0,0.00425,0.0025,0,0.4
卯の花,174.47,4.6,6.4,0.6,0.09,2.435,332.6,0,0.4,0.0952,0.0782,0.8,0.1351,0.018,5.56,4.3
即席漬け,6,0.1,0.5,0,0.01,0.004,35.5,0,0,0.009,0.0085,0.1,0.0185,0,3.8,0.4
卵の袋煮,337.265,19.2,0.4,2.1,0.14,31.9,129,1.5,1.3,0.0786,0.4124,0.4,0.12655,0.792,0,3.3
卵カレーライス,67.27,1.4,2.5,0.3,0.09,0.009,142,0,0.2,0.06404,0.03341,0.7,0.18904,0,15.966,0.1
卵雑炊,329.41,13.2,1.1,1.6,0.16,48.58,84.6,1,0.7,0.117,0.3291,6.2,0.2124,2.113,4.2,3.2
厚揚げと大根のオイスターソース煮,24.238,1.9,2.5,0.1,0.03,0.716,256,0.1,2.5,0.02616,0.05337,0.7,0.07738,0.005,10.942,0.8
厚揚げの煮込み,438.28,33.8,4,3.7,0.43,2.48,5.05,0.1,1.4,1.0115,0.2966,6.8,0.4904,0.318,4.6,2.7
和風ハンバーグ,1194.83,54.7,1.1,14.4,0.25,51.245,117.1,1.3,4,0.2795,0.8183,11.5,0.8567,4.549,7,10
回鍋肉,680.26,20.9,6.5,2.8,0.21,15.21,56.14,0.5,3.4,0.6291,0.2565,6.1,0.7196,0.506,125.72,5.1
団子汁,19.53,0.9,0.5,0.1,0.02,0.18,0,0,0,0.0045,0.009,0.1,0.0036,0.009,0,0.5
坦々麺,544.005,23,3.6,2.6,0.2,36.82,14.25,0.3,0.9,0.60745,0.22505,5.1,0.55635,0.48,4.73,2.8
堅焼きそば,689.13,35.6,8.3,3.1,0.28,41.5,358.36,0.1,1.3,1.0438,0.3342,7.9,0.6365,0.306,104.78,1.5
塩もみ,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0.4
塩焼きそば,418.48,18.4,3,1.4,0.13,24.105,5,0.1,2.1,0.4935,0.1495,3.8,0.2405,0.22,31.25,2.8
夏野菜とん汁,36.27,1.5,1.6,0.1,0.04,0.18,85.28,0,0.4,0.0289,0.0304,0.3,0.0404,0.009,3.66,0.5
夏野菜の卵とじ,38.4,1.6,2.7,0.2,0.07,0.884,113,0,0.3,0.04362,0.04718,0.4,0.09812,0.008,3.758,1.1
夏野菜カレーライス,56.38,1.9,3.5,0.2,0.1,0.205,126.8,0.1,0.6,0.08195,0.06385,1.2,0.15715,0,11.56,0
夏野菜汁,60.43,2.1,2.2,0.2,0.07,0.18,11.95,0,0.4,0.0485,0.0385,0.5,0.1051,0.009,9.9,0.5
夏野菜炒め,5.7,0.4,0.8,0.1,0.02,0.2035,71,0.1,0,0.021,0.017,0.6,0.015,0,0.4,0.3
夏野菜車麩揚げ煮,31.1,1.8,1.6,0.2,0.05,0.55,23.1,0,0.7,0.0445,0.042,0.5,0.056,0.005,5.7,0.7
大凧生酢,9.855,0.6,0.4,0,0.03,0.555,5.6,0,0.1,0.01525,0.01105,0,0.02145,0.0025,6.64,0.4
大学芋,443.442,3.1,2.5,0.6,0.23,1.98,2.025,0,3.1,0.13175,0.0779,1.1,0.3083,0.023,29,2.6
大根と生揚げのみそ汁,19.53,0.9,0.5,0.1,0.02,0.18,0,0,0,0.0045,0.009,0.1,0.0036,0.009,0,0.5
大根のハリハリ漬け,65.35,2.6,3.6,0.4,0.05,2.57,0.02,0,0,0.0647,0.0416,1,0.0646,0.042,4.3,1.3
大根の昆布あえ,0.426,0,0,0,0,0.067,0,0,0,0.0003,0.00102,0,0.00102,0.0006,0,0.2
大根サラダ,315.56,17.3,4.9,0.8,0.11,1.97,525.6,3.2,6.9,0.1382,0.172,10.7,0.3342,1.6,26.14,1.9
大根ステーキ,114.28,2.3,2.1,0.5,0.03,3.48,52,0.1,0.2,0.04,0.0486,0.7,0.0906,0.028,18,2.8
大豆と鶏肉のくるめがらみ,30.8145,2.3,0.9,0.3,0.05,0.742,0.0105,0,0.2,0.028005,0.019805,0.2,0.02728,0.0045,0.014,0.7
大豆の磯煮,24.59,1.4,1.2,0.1,0.03,0.47,52.15,0,0.1,0.0227,0.0211,0,0.0283,0.003,0.75,0.4
山菜汁,29.45,2.3,1.5,0.3,0.06,1.182,71.7,0.9,0,0.0375,0.0684,1.7,0.0506,0.032,1.8,1.6
手羽元の甘酢煮,562.74,32.4,0,2.5,0.05,28.92,70.5,0.6,0.9,0.147,0.2784,10.3,0.7002,0.732,3,10.7
手羽先の唐揚げ,840.37,36.7,0.8,3.1,0.15,32.37,75.23,0.6,2,0.185,0.3258,11.3,0.9155,0.73,4.04,13.4
揚げ出し豆腐のきのこあんかけ,665.17,23.5,2.2,2.4,0.62,14.97,0,0.3,5.1,0.2585,0.2759,3.3,0.3032,0.027,0,4.4
揚げ野菜のおろし酢和え,551.52,5.3,6.5,0.9,0.27,4.115,525.88,0,5.3,0.1705,0.0982,1.4,0.4796,0.214,44.62,3.4
昆布豆,1.42,0.2,0,0,0,0.22,0,0,0,0.001,0.0034,0,0.0034,0.002,0,0.3
春巻き,240.89,23.5,2.5,1,0.12,18.96,24.4,0,0.7,0.1614,0.1456,10.6,0.6185,0.086,10.42,0.1
